Title,Author,Publication_Date,ePub_link,MOBI_link,URL
HM Chief Inspector of Prisons for Scotland Annual Report 2013-2014,Her Majesty's Inspectorate of Prisons for Scotland,2014-06-25 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-hm-chief-inspector-of-prisons-for-scotland-annual-report-2013-2014_0.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-hm-chief-inspector-of-prisons-for-scotland-annual-report-2013-2014_0.mobi,http://scotgov.publishingthefuture.info/publication/hm-chief-inspector-of-prisons-for-scotland-annual-report-2013-2014
Care and Support in Scotland: Values and Principles Statement,The Scottish Government,2014-06-25 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-care-and-support-in-scotland-values-and-principles-statement.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-care-and-support-in-scotland-values-and-principles-statement.mobi,http://scotgov.publishingthefuture.info/publication/care-and-support-in-scotland-values-and-principles-statement
Scotland's Third National Planning Framework,The Scottish Government,2014-06-23 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-scotlands-third-national-planning-framework.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-scotlands-third-national-planning-framework.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-third-national-planning-framework
Care and Support in Scotland,The Scottish Government,2014-06-23 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-care-and-support-in-scotland.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-care-and-support-in-scotland.mobi,http://scotgov.publishingthefuture.info/publication/care-and-support-in-scotland
Scotland's Future: It's in your hands,The Scottish Government,2014-06-20 00:00:00,http://files.scotgov.publishingthefuture.info/scotlands-future-its-in-your-hands.epub,http://files.scotgov.publishingthefuture.info/scotlands-future-its-in-your-hands.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-future-its-in-your-hands
Giving children and young people a sporting chance,The Scottish Government,2014-06-17 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-giving-children-and-young-people-a-sporting-chance.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-giving-children-and-young-people-a-sporting-chance.mobi,http://scotgov.publishingthefuture.info/publication/giving-children-and-young-people-a-sporting-chance
The Scottish Independence Bill,The Scottish Government,2014-06-16 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-the-scottish-independence-bill.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-the-scottish-independence-bill.mobi,http://scotgov.publishingthefuture.info/publication/the-scottish-independence-bill
HM Inspectorate of Prisons for Scotland Report on HMYOI Polmont Follow-up Inspection 24-28 March 2014,Her Majesty's Inspectorate of Prisons for Scotland,2014-06-11 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-hm-inspectorate-of-prisons-for-scotland-report-on-hmyoi-polmont-follow-up-inspection-24-28-march-2014.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-hm-inspectorate-of-prisons-for-scotland-report-on-hmyoi-polmont-follow-up-inspection-24-28-march-2014.mobi,http://scotgov.publishingthefuture.info/publication/hm-inspectorate-of-prisons-for-scotland-report-on-hmyoi-polmont-follow-up-inspection-24
Beyond the School Gate - Improving Food Choices in the School Community,The Scottish Government,2014-06-10 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-beyond-the-school-gate-improving-food-choices-in-the-school-community.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-beyond-the-school-gate-improving-food-choices-in-the-school-community.mobi,http://scotgov.publishingthefuture.info/publication/beyond-the-school-gate-improving-food-choices-in-the-school-community
National Guidance for Child Protection in Scotland (2014): Additional Notes for Practitioners: Protecting Disabled Children from Abuse and Neglect,The Scottish Government,2014-05-21 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-national-guidance-for-child-protection-in-scotland-2014-additional-notes-for-practitioners-protecting-disabled-children-from-abuse-and-neglect.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-national-guidance-for-child-protection-in-scotland-2014-additional-notes-for-practitioners-protecting-disabled-children-from-abuse-and-neglect.mobi,http://scotgov.publishingthefuture.info/publication/national-guidance-for-child-protection-in-scotland-2014-additional-notes-for
The National Guidance for Child Protection in Scotland 2014,The Scottish Government,2014-05-19 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-the-national-guidance-for-child-protection-in-scotland-2014.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-the-national-guidance-for-child-protection-in-scotland-2014.mobi,http://scotgov.publishingthefuture.info/publication/the-national-guidance-for-child-protection-in-scotland-2014
Guidance on Health Assessments for Looked After Children and Young People in Scotland,The Scottish Government,2014-05-16 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-guidance-on-health-assessments-for-looked-after-children-and-young-people-in-scotland.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-guidance-on-health-assessments-for-looked-after-children-and-young-people-in-scotland.mobi,http://scotgov.publishingthefuture.info/publication/guidance-on-health-assessments-for-looked-after-children-and-young-people-in-scotland
Report on HMP Inverness Full Inspection 10-18 February 2014,Her Majesty's Inspectorate of Prisons for Scotland,2014-05-14 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-hmp-inverness-full-inspection-10-18-february-2014.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-hmp-inverness-full-inspection-10-18-february-2014.mobi,http://scotgov.publishingthefuture.info/publication/report-on-hmp-inverness-full-inspection-10-18-february-2014
A Review of the Evidence of Legacy of Major Sporting Events,The Scottish Government,2014-04-28 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-a-review-of-the-evidence-of-legacy-of-major-sporting-events.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-a-review-of-the-evidence-of-legacy-of-major-sporting-events.mobi,http://scotgov.publishingthefuture.info/publication/a-review-of-the-evidence-of-legacy-of-major-sporting-events
An Evaluation of legacy from the Glasgow 2014 Commonwealth Games: Pre-Games Report,The Scottish Government,2014-04-28 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-an-evaluation-of-legacy-from-the-glasgow-2014-commonwealth-games-pre-games-report.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-an-evaluation-of-legacy-from-the-glasgow-2014-commonwealth-games-pre-games-report.mobi,http://scotgov.publishingthefuture.info/publication/an-evaluation-of-legacy-from-the-glasgow-2014-commonwealth-games-pre-games-report
See Hear - A strategic framework for meeting the needs of people with a sensory impairment in Scotland,The Scottish Government,2014-04-24 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-see-hear-a-strategic-framework-for-meeting-the-needs-of-people-with-a-sensory-impairment-in-scotland.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-see-hear-a-strategic-framework-for-meeting-the-needs-of-people-with-a-sensory-impairment-in-scotland.mobi,http://scotgov.publishingthefuture.info/publication/see-hear-a-strategic-framework-for-meeting-the-needs-of-people-with-a-sensory-impairment-in-scotland
Personal Assistant Employer's Handbook: What you need to know,The Scottish Government,2014-04-16 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-personal-assistant-employer-s-handbook-what-you-need-to-know.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-personal-assistant-employer-s-handbook-what-you-need-to-know.mobi,http://scotgov.publishingthefuture.info/publication/personal-assistant-employers-handbook-what-you-need-to-know
"Research Findings: Disabled Children and Child Protection in Scotland: Investigation into the relationship between professional practice, child protection and disability",The Scottish Government,2014-04-07 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-disabled-children-and-child-protection-in-scotland-investigation-into-the-relationship-between-professional-practice-child-protection-and-disability.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-disabled-children-and-child-protection-in-scotland-investigation-into-the-relationship-between-professional-practice-child-protection-and-disability.mobi,http://scotgov.publishingthefuture.info/publication/research-findings-disabled-children-and-child-protection-in-scotland-investigation-into
Recommendations for the Future of Residential Care for Older People in Scotland Summary,The Scottish Government,2014-04-07 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-recommendations-for-the-future-of-residential-care-for-older-people-in-scotland-summary.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-recommendations-for-the-future-of-residential-care-for-older-people-in-scotland-summary.mobi,http://scotgov.publishingthefuture.info/publication/recommendations-for-the-future-of-residential-care-for-older-people-in-scotland-summary
"Disabled Children and Child Protection in Scotland: An investigation into the relationship between professional practice, child protection and disability",The Scottish Government,2014-04-04 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-disabled-children-and-child-protection-in-scotland-an-investigation-into-the-relationship-between-professional-practice-child-protection-and-disability.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-disabled-children-and-child-protection-in-scotland-an-investigation-into-the-relationship-between-professional-practice-child-protection-and-disability.mobi,http://scotgov.publishingthefuture.info/publication/disabled-children-and-child-protection-in-scotland-an-investigation-into-the
Personal Assistant Employer’s Handbook: What you need to know,The Scottish Government,2014-04-01 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-personal-assistant-employer-s-handbook-what-you-need-to-know_0.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-personal-assistant-employer-s-handbook-what-you-need-to-know_0.mobi,http://scotgov.publishingthefuture.info/publication/personal-assistant-employer-s-handbook-what-you-need-to-know
Personal Assistant Employers Handbook Easy Read,The Scottish Government,2014-04-01 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-personal-assistant-employer-s-handbook-what-you-need-to-know-easy-read.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-personal-assistant-employer-s-handbook-what-you-need-to-know-easy-read.mobi,http://scotgov.publishingthefuture.info/publication/personal-assistant-employers-handbook-easy-read
Statutory guidance to accompany the Social Care (Self-directed Support) (Scotland) Act 2013,The Scottish Government,2014-04-01 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-statutory-guidance-to-accompany-the-social-care-self-directed-support-scotland-act-2013.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-statutory-guidance-to-accompany-the-social-care-self-directed-support-scotland-act-2013.mobi,http://scotgov.publishingthefuture.info/publication/statutory-guidance-to-accompany-the-social-care-self-directed-support-scotland-act-2013
"Better Eating, Better Learning Self-Evaluation Tool",The Scottish Government,2014-03-20 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-better-eating-better-learning-self-evaluation-tool.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-better-eating-better-learning-self-evaluation-tool.mobi,http://scotgov.publishingthefuture.info/publication/better-eating-better-learning-self-evaluation-tool
"Better Eating, Better Learning - A New Context for School Food",The Scottish Government,2014-03-20 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-better-eating-better-learning-a-new-context-for-school-food.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-better-eating-better-learning-a-new-context-for-school-food.mobi,http://scotgov.publishingthefuture.info/publication/better-eating-better-learning-a-new-context-for-school-food
A Donation and Transplantation Plan for Scotland 2013 - 2020,The Scottish Government,2014-03-12 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-a-donation-and-transplantation-plan-for-scotland-2013-2020.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-a-donation-and-transplantation-plan-for-scotland-2013-2020.mobi,http://scotgov.publishingthefuture.info/publication/a-donation-and-transplantation-plan-for-scotland-2013-2020
Teach in Scotland Primary & Secondary 2013/2014 [Gaelic Translation],The Scottish Government,2014-03-12 00:00:00,http://files.scotgov.publishingthefuture.info/riaghaltas-na-h-alba-teagasg-ann-an-alba-bun-sgoil-ard-sgoil-2013-2014.epub,http://files.scotgov.publishingthefuture.info/riaghaltas-na-h-alba-teagasg-ann-an-alba-bun-sgoil-ard-sgoil-2013-2014.mobi,http://scotgov.publishingthefuture.info/publication/riaghaltas-na-h-alba-teagasg-ann-an-alba-bun-sgoil-ard-sgoil-20132014
Teach in Scotland Primary & Secondary 2013/2014,The Scottish Government,2014-03-12 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-teach-in-scotland-primary-secondary-2013-2014.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-teach-in-scotland-primary-secondary-2013-2014.mobi,http://scotgov.publishingthefuture.info/publication/teach-scotland-primary-secondary-2013-14-2
Child Poverty Strategy for Scotland: Our Approach 2014 - 2017,The Scottish Government,2014-03-10 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-child-poverty-strategy-for-scotland-our-approach-2014-2017.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-child-poverty-strategy-for-scotland-our-approach-2014-2017.mobi,http://scotgov.publishingthefuture.info/publication/child-poverty-strategy-for-scotland-our-approach-2014-2017
Transforming Outpatient Services Patient Reminder Services Change Package,The Scottish Government,2014-02-28 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-transforming-outpatient-services.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-transforming-outpatient-services.mobi,http://scotgov.publishingthefuture.info/publication/transforming-outpatient-services-patient-reminder-services-change-package
Scottish Scenic Routes - Competition 2013,The Scottish Government,2014-02-24 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-scottish-scenic-routes-competition-2013_0.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-scottish-scenic-routes-competition-2013_0.mobi,http://scotgov.publishingthefuture.info/publication/scottish-scenic-routes-competition-2013-2
Carers Legislation - Consultation on Proposals - January 2014: Easy Read,The Scottish Government,2014-02-21 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-carers-consultation-easy-read-version.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-carers-consultation-easy-read-version.mobi,http://scotgov.publishingthefuture.info/publication/carers-legislation-consultation-on-proposals-january-2014-easy-read
Scottish Scenic Routes - Competition 2013,The Scottish Government,2014-02-14 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-scottish-scenic-routes-competition-2013.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-scottish-scenic-routes-competition-2013.mobi,http://scotgov.publishingthefuture.info/publication/scottish-scenic-routes-competition-2013
Setting the Direction for Nursing and Midwifery Education in Scotland,The Scottish Government,2014-02-12 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-setting-the-direction-for-nursing-and-midwifery-education-in-scotland.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-setting-the-direction-for-nursing-and-midwifery-education-in-scotland.mobi,http://scotgov.publishingthefuture.info/publication/setting-the-direction-for-nursing-and-midwifery-education-in-scotland
Setting the Direction for Nursing and Midwifery Education in Scotland Summary,The Scottish Government,2014-02-12 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-setting-the-direction-for-nursing-and-midwifery-education-in-scotland-summary.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-setting-the-direction-for-nursing-and-midwifery-education-in-scotland-summary.mobi,http://scotgov.publishingthefuture.info/publication/setting-the-direction-for-nursing-and-midwifery-education-in-scotland-summary
Scotland's Third National Planning Framework - Proposed Framework,The Scottish Government,2014-02-05 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-scotland-s-third-national-planning-framework-proposed-framework_0.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-scotland-s-third-national-planning-framework-proposed-framework_0.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-third-national-planning-framework-proposed-framework-0
Carers Legislation - Consultation on Proposals January 2014,The Scottish Government,2014-01-23 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-carers-legislation-consultation-on-proposals-january-2014_0.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-carers-legislation-consultation-on-proposals-january-2014_1.mobi,http://scotgov.publishingthefuture.info/publication/carers-legislation-consultation-on-proposals-january-2014
Youth Sports Concussion Awareness Leaflet,The Scottish Government,2014-01-22 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-sports-concussion.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-sports-concussion.mobi,http://scotgov.publishingthefuture.info/publication/sports-concussion
Scotland's Third National Planning Framework - Proposed Framework,The Scottish Government,2014-01-14 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-scotland-s-third-national-planning-framework-proposed-framework_original.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-scotland-s-third-national-planning-framework-proposed-framework_original.mobi,http://scotgov.publishingthefuture.info/publication/scotlands-third-national-planning-framework-proposed-framework
Report on HMP Edinburgh Full Inspection 9-18 September 2013,Her Majesty's Inspectorate of Prisons for Scotland,2013-12-18 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-hmp-edinburgh-full-inspection-9-18-september-2013_0.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-hmp-edinburgh-full-inspection-9-18-september-2013.mobi,http://scotgov.publishingthefuture.info/publication/report-on-hmp-edinburgh-full-inspection-9-18-september-2013
Organ Donation Scotland - Teaching Resource Pack,The Scottish Government,2013-12-09 00:00:00,http://files.scotgov.publishingthefuture.info/organ-donation-scotland-teaching-resource-pack_0.epub,,http://scotgov.publishingthefuture.info/publication/organ-donation-teaching-resource-pack
New Scots: Integrating Refugees in Scotland's Communities 2014-2017,The Scottish Government,2013-12-09 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-new-scots-integrating-refugees-in-scotland-s-communities-2014-2017.epub,,http://scotgov.publishingthefuture.info/publication/new-scots-integrating-refugees-in-scotlands-communities-2014-2017
Suicide Prevention Strategy 2013-2016,The Scottish Government,2013-12-02 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-suicide-prevention-strategy-2013-2016.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-suicide-prevention-strategy-2013-2016.mobi,http://scotgov.publishingthefuture.info/publication/suicide-prevention-strategy-2013-2016
Preparing Scotland: Responding To The Psychological And Mental Health Needs Of People Affected By Emergencies: Supplement to care for people affected by emergencies,The Scottish Government,2013-11-28 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-preparing-scotland-responding-to-the-psychological-and-mental-health-needs-of-people-affected-by-emergencies.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-preparing-scotland-responding-to-the-psychological-and-mental-health-needs-of-people-affected-by-emergencies.mobi,http://scotgov.publishingthefuture.info/publication/preparing-scotland-responding-to-the-psychological-and-mental-health-needs-of-people
